    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1026.374938   -1026.374926   -1026.374970      27.610440      27.544000       7.949165       0.007530      -0.020080
  100.000   -1026.374938   -1026.372629   -1026.384780      76.248740      76.251000      21.125165       1.448921      -6.175953
  200.000   -1026.374938   -1026.368264   -1026.398464      94.754010      94.754000      33.109165       4.188002     -14.762800
  300.000   -1026.374938   -1026.362230   -1026.414810     109.981586     109.982000      42.228165       7.974397     -25.020079
  400.000   -1026.374938   -1026.354913   -1026.433409     123.142562     123.142000      49.290165      12.565888     -36.691137
  500.000   -1026.374938   -1026.346612   -1026.453976     134.743967     134.744000      54.642165      17.774848     -49.597135
  600.000   -1026.374938   -1026.337571   -1026.476287     145.076129     145.077000      58.625165      23.448166     -63.597511
  700.000   -1026.374938   -1026.327981   -1026.500158     154.346842     154.347000      61.585165      29.465987     -78.576802
  800.000   -1026.374938   -1026.317981   -1026.525434     162.723540     162.723000      63.806165      35.741087     -94.437745
  900.000   -1026.374938   -1026.307673   -1026.551981     170.339681     170.340000      65.495165      42.209460    -111.096253
 1000.000   -1026.374938   -1026.297127   -1026.579690     177.311108     177.311000      66.800165      48.827181    -128.483928
 1100.000   -1026.374938   -1026.286397   -1026.608465     183.728082     183.728000      67.823165      55.560363    -146.540528
 1200.000   -1026.374938   -1026.275521   -1026.638222     189.665420     189.665000      68.637165      62.385162    -165.213343
 1300.000   -1026.374938   -1026.264529   -1026.668893     195.186503     195.186000      69.294165      69.282752    -184.459702
 1400.000   -1026.374938   -1026.253442   -1026.700413     200.341980     200.342000      69.830165      76.239955    -204.238817
 1500.000   -1026.374938   -1026.242278   -1026.732728     205.174853     205.175000      70.272165      83.245477    -224.516803
 1600.000   -1026.374938   -1026.231049   -1026.765791     209.722470     209.722000      70.641165      90.291786    -245.264166
 1700.000   -1026.374938   -1026.219766   -1026.799558     214.014869     214.015000      70.952165      97.371982    -266.453296
 1800.000   -1026.374938   -1026.208437   -1026.833990     218.078202     218.078000      71.216165     104.481043    -288.059721
 1900.000   -1026.374938   -1026.197070   -1026.869053     221.934764     221.934000      71.442165     111.613949    -310.062104
 2000.000   -1026.374938   -1026.185669   -1026.904715     225.604278     225.604000      71.636165     118.768190    -332.440365
