    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1516.223069   -1516.223056   -1516.223105      30.747990      30.559000       7.949165       0.008158      -0.022590
  100.000   -1516.223069   -1516.220179   -1516.233990      86.665406      86.665000      27.686165       1.813504      -6.853037
  200.000   -1516.223069   -1516.214363   -1516.249832     111.285761     111.284000      44.631165       5.463102     -16.794050
  300.000   -1516.223069   -1516.206124   -1516.269259     132.059479     132.058000      58.378165      10.633157     -28.984687
  400.000   -1516.223069   -1516.195875   -1516.291798     150.481604     150.481000      69.866165      17.064507     -43.128135
  500.000   -1516.223069   -1516.183983   -1516.317124     167.094618     167.096000      79.000165      24.526856     -59.020453
  600.000   -1516.223069   -1516.170807   -1516.344972     182.150465     182.150000      86.043165      32.794928     -76.495352
  700.000   -1516.223069   -1516.156644   -1516.375107     195.839596     195.839000      91.482165      41.682352     -95.405365
  800.000   -1516.223069   -1516.141712   -1516.407327     208.345086     208.345000      95.752165      51.052331    -115.623738
  900.000   -1516.223069   -1516.126171   -1516.441456     219.827211     219.828000      99.174165      60.804464    -137.040026
 1000.000   -1516.223069   -1516.110136   -1516.477343     230.426065     230.426000     101.968165      70.866587    -159.559478
 1100.000   -1516.223069   -1516.093697   -1516.514857     240.256465     240.256000     104.281165      81.182224    -183.099888
 1200.000   -1516.223069   -1516.076919   -1516.553882     249.415877     249.416000     106.221165      91.710586    -207.588466
 1300.000   -1516.223069   -1516.059858   -1516.594319     257.984325     257.984000     107.862165     102.416535    -232.963088
 1400.000   -1516.223069   -1516.042554   -1516.636080     266.031072     266.031000     109.263165     113.274968    -259.168533
 1500.000   -1516.223069   -1516.025044   -1516.679084     273.611094     273.611000     110.466165     124.262668    -286.153973
 1600.000   -1516.223069   -1516.007355   -1516.723263     280.774643     280.774000     111.505165     135.362692    -313.876737
 1700.000   -1516.223069   -1515.989512   -1516.768553     287.562363     287.562000     112.409165     146.559353    -342.296665
 1800.000   -1516.223069   -1515.971534   -1516.814897     294.010398     294.010000     113.198165     157.840728    -371.377988
 1900.000   -1516.223069   -1515.953439   -1516.862243     300.149262     300.149000     113.890165     169.195521    -401.088077
 2000.000   -1516.223069   -1515.935239   -1516.910545     306.007134     306.007000     114.501165     180.616203    -431.398065
